COMPANY_ID,VARIABLE,SHAP_VALUE,MODEL_INPUT_VALUE,WAS_MISSING,ABS_SHAP_VALUE,DESCRIPTION,SHAP_DIRECTION
ESIK-00001,Attr55,-0.653777,2341.8,False,0.653777,Çalışma sermayesi,Riski Azaltıyor
ESIK-00001,Attr46,-0.5846134,1.0606,False,0.5846134,Asit-test oranı,Riski Azaltıyor
ESIK-00001,Attr27,-0.5075844,0.17118,False,0.5075844,Faaliyet kârı / finansman giderleri,Riski Azaltıyor
ESIK-00001,Attr24,-0.47907364,0.16414,True,0.47907364,Son üç yıllık brüt kâr / toplam varlıklar,Riski Azaltıyor
ESIK-00001,Attr21,-0.43280032,1.0158,False,0.43280032,Cari yıl satışları / önceki yıl satışları,Riski Azaltıyor
ESIK-00001,Attr41,-0.34879357,0.29167,False,0.34879357,Borçların faaliyet kârı ve amortismanla karşılanma yükü,Riski Azaltıyor
ESIK-00001,Attr61,-0.26988167,3.2749,False,0.26988167,Satışlar / alacaklar,Riski Azaltıyor
ESIK-00001,Attr62,-0.25481445,111.14,False,0.25481445,Kısa vadeli yükümlülüklerin satışlara göre devir süresi,Riski Azaltıyor
ESIK-00001,Attr58,-0.22485071,1.0047,False,0.22485071,Toplam maliyetler / toplam satışlar,Riski Azaltıyor
ESIK-00001,Attr36,-0.20934722,1.2757,False,0.20934722,Toplam satışlar / toplam varlıklar,Riski Azaltıyor
ESIK-00001,Attr35,0.20671977,-0.036475,False,0.20671977,Satış kârı / toplam varlıklar,Riski Artırıyor
ESIK-00001,Attr53,-0.20493172,1.3614,False,0.20493172,Özkaynaklar / duran varlıklar,Riski Azaltıyor
ESIK-00001,Attr39,0.19324237,-0.028591,False,0.19324237,Satış kârı / satışlar,Riski Artırıyor
ESIK-00001,Attr54,-0.191289,1.5686,False,0.191289,Devamlı sermaye / duran varlıklar,Riski Azaltıyor
ESIK-00001,Attr44,-0.1836707,111.45,False,0.1836707,Alacakların satışlara göre devir süresi,Riski Azaltıyor
ESIK-00001,Attr25,0.17080978,0.080285,False,0.17080978,(Özkaynak - sermaye) / toplam varlıklar,Riski Artırıyor
ESIK-00001,Attr22,-0.16795465,0.001289,False,0.16795465,Faaliyet kârı / toplam varlıklar,Riski Azaltıyor
ESIK-00001,Attr48,-0.15266536,-0.052809,False,0.15266536,Kaynakta EBITDA olarak adlandırılan tutar / toplam varlıklar (tanım notu),Riski Azaltıyor
ESIK-00001,Attr30,-0.14570291,0.36381,False,0.14570291,Nakit sonrası yükümlülükler / satışlar,Riski Azaltıyor
ESIK-00001,Attr47,-0.14057955,58.258,False,0.14057955,Stok devir süresi,Riski Azaltıyor
ESIK-00001,Attr42,-0.13730837,0.001011,False,0.13730837,Faaliyet kârı / satışlar,Riski Azaltıyor
