row_id,raw_margin
203,-6.5856709480285645
3772,0.5807374119758606
3897,-2.493464231491089
3035,-6.286560535430908
2079,-6.261816501617432
2559,-5.776195526123047
1925,-5.445132732391357
657,-6.232730388641357
3946,-4.837096691131592
1657,-5.531498432159424
5135,-3.6772546768188477
4474,-6.21985387802124
3701,-5.466122627258301
1776,-1.996087908744812
3343,-3.0256290435791016
5685,4.829802989959717
3125,2.3924310207366943
3262,-2.590120792388916
5535,-0.3571402430534363
3027,-5.9568190574646
3565,-5.060214996337891
2561,-5.639072418212891
1141,0.8084267377853394
4945,-5.773369789123535
3987,-6.153985977172852
4294,-6.426970481872559
2349,-8.578092575073242
4349,-7.529294013977051
4589,-6.0414276123046875
5413,-6.684022426605225
1627,-4.393592357635498
4883,-7.466191291809082
5221,-8.288081169128418
4059,-6.877791881561279
5228,-7.755351543426514
4127,-5.032334327697754
2420,-7.039320945739746
3593,-2.52736496925354
219,-4.477910041809082
4417,-4.939355373382568
2822,-6.090137958526611
1822,-3.63486909866333
2690,-6.220798492431641
1966,-6.136706352233887
2776,-1.6888948678970337
3688,-4.84665060043335
1114,-2.251978874206543
4826,-6.770126819610596
3326,-2.403944492340088
2995,-4.019720077514648
1629,-5.454537868499756
723,-7.515273571014404
3198,-5.5398736000061035
2938,-4.812963008880615
5692,0.9393581748008728
5068,-0.9786341786384583
935,-6.83118200302124
2382,-5.895821571350098
676,-4.530905723571777
783,-4.974552631378174
2716,-5.521798610687256
120,-6.551212787628174
4326,-5.381930351257324
5661,5.069086074829102
5192,-1.7237144708633423
2911,-7.9953484535217285
4545,-7.462973117828369
3007,-6.286513805389404
809,-4.41442346572876
4201,-7.155954360961914
5578,5.981383323669434
4733,-5.419853687286377
212,-6.3311991691589355
4971,-4.635298728942871
4389,-2.810697078704834
4268,-7.25806188583374
4725,-7.618247032165527
4406,-5.777323246002197
1043,-3.8432388305664062
2089,-4.770676612854004
2611,-2.1680452823638916
2218,-7.155523777008057
4193,-7.781393527984619
3876,-5.748688697814941
3882,-5.458413124084473
5821,2.837230682373047
508,-7.499659538269043
354,-5.23245906829834
3500,-4.194612503051758
1546,-6.886713981628418
1755,-4.718177318572998
1775,-7.474582195281982
1087,-3.906010150909424
3245,-7.034031867980957
2813,-7.433928966522217
287,-3.8090858459472656
4973,-6.300235271453857
3005,-3.0715208053588867
3667,-3.735929250717163
330,-7.919379234313965
1371,-5.706188678741455
187,-5.59567403793335
2427,-4.1421613693237305
462,-6.33474588394165
5344,-6.340138912200928
14,-6.790689945220947
3248,-0.1275719255208969
5729,6.5875067710876465
4338,-5.5701985359191895
5003,-2.0126266479492188
1316,0.31510496139526367
3605,-3.3694610595703125
117,-6.394814491271973
2452,-5.353192329406738
2194,-5.402889251708984
3742,-5.852753639221191
2635,2.718831777572632
2153,-8.395176887512207
25,-5.669388294219971
4041,-0.7768937945365906
4234,-6.017325401306152
4390,-6.4096269607543945
3239,-2.9060349464416504
3350,-2.377751350402832
4783,-2.690755605697632
1956,-2.752183675765991
3517,-5.237329006195068
3938,-6.178651332855225
433,-4.831840515136719
1104,-6.498454570770264
347,-5.130552768707275
1347,-6.2988152503967285
3170,-2.9828360080718994
5146,-6.152560234069824
2523,-5.778384685516357
5213,-6.517182350158691
2248,-6.212957382202148
62,-6.042586326599121
4210,-6.527015209197998
1859,-3.414534330368042
4253,-5.3596343994140625
4519,-6.005692958831787
4275,-6.907584190368652
4108,-5.3675689697265625
1652,-6.12379264831543
2702,-7.215684413909912
4494,-4.870422840118408
3568,-7.126953601837158
5781,2.714207410812378
2085,-2.854179620742798
5710,-1.5861520767211914
4862,-3.5939393043518066
3829,-6.235167026519775
618,-3.715851306915283
476,-3.0789763927459717
4827,-3.785284996032715
4820,-7.3520050048828125
5182,-5.140069484710693
