COMPANY_ID,xgboost_score,xgboost_rank,xgboost_probability,actual,xgboost_in_top10,lightgbm_score,lightgbm_rank,lightgbm_probability,lightgbm_in_top10,review_difference
ESIK-00001,0.009116613,444,0.014481563785439,0,False,5.4282231566941314e-08,691,0.0096358778111059,False,neither
ESIK-00004,0.016747648,316,0.0233019236052118,0,False,1.39242623015873e-05,198,0.0447588257879081,False,neither
ESIK-00011,0.0019265927,836,0.0042817213499119,0,False,4.311629119977932e-08,727,0.0090326306867697,False,neither
ESIK-00012,0.08610522,160,0.0839643319472235,0,False,1.7561099257985275e-06,306,0.0253969183200333,False,neither
ESIK-00015,0.003345855,677,0.0066027804301946,0,False,1.4302487851985576e-08,894,0.0066232352773656,False,neither
ESIK-00019,0.0014678304,910,0.0034584008541146,0,False,1.4262803050956564e-08,895,0.0066180570258039,False,neither
ESIK-00022,0.004204587,617,0.0078982134162892,0,False,2.862170225045553e-07,482,0.0153455736803306,False,neither
ESIK-00026,0.013791603,357,0.0200196156896955,0,False,4.360172587946304e-08,724,0.0090610725516745,False,neither
ESIK-00043,0.0035104556,656,0.0068562167589018,0,False,9.765836081208058e-09,951,0.0059485381888342,False,neither
ESIK-00049,0.0010330206,993,0.0026244212938859,0,False,1.5855184495103224e-09,1119,0.0035622238183339,False,neither
ESIK-00053,0.43229005,84,0.3218433672062562,0,True,0.0005216427694188,120,0.115700854834003,False,xgboost_only
ESIK-00074,0.0021530832,812,0.0046720823706328,0,False,3.0319450955919615e-08,778,0.0081819001150954,False,neither
ESIK-00080,0.0039116116,629,0.0074633738430762,0,False,1.5219259008532093e-07,554,0.0128631712744675,False,neither
ESIK-00085,0.036208987,237,0.0425674893883322,0,False,1.7700135606780362e-06,303,0.0254522896742232,False,neither
ESIK-00089,0.12602066,134,0.1135676332366934,0,False,0.0034447641284825,100,0.1827146172997278,True,lightgbm_only
ESIK-00092,0.0008831654,1032,0.0023203430302323,0,False,2.3945766217989438e-09,1095,0.0040019235344843,False,neither
ESIK-00095,0.015518925,333,0.0219544803649976,0,False,2.2996186434571058e-07,513,0.0144361961373013,False,neither
ESIK-00097,0.0056978865,561,0.0100224823333096,0,False,1.3149055479407592e-08,910,0.0064682996637119,False,neither
ESIK-00098,0.07334808,164,0.0740036709844577,0,False,4.11373877462693e-05,164,0.0598781076914072,False,neither
ESIK-00100,0.012583077,376,0.0186341609286984,0,False,3.919864644153181e-08,741,0.0087941867843129,False,neither
ESIK-00102,0.001301982,943,0.0031475956083033,0,False,1.147329486693621e-08,932,0.0062247133405696,False,neither
ESIK-00118,0.002244463,798,0.0048270206998278,0,False,3.053079140566187e-08,776,0.0081978887206424,False,neither
ESIK-00127,0.0035017508,657,0.0068428797711027,0,False,5.740851938207791e-08,684,0.0097884855059265,False,neither
ESIK-00131,0.03696854,233,0.0432639465441991,0,False,8.509494337130523e-06,222,0.0391573802405246,False,neither
ESIK-00138,0.008362169,469,0.0135348000189339,0,False,1.263631581970973e-07,583,0.0122108639356567,False,neither
ESIK-00143,0.001264758,951,0.0030766916582803,0,False,6.946810481722821e-09,997,0.0054041947120652,False,neither
ESIK-00157,0.0010283622,994,0.0026151189416324,0,False,8.84551409894877e-09,970,0.0057849648859465,False,neither
ESIK-00159,0.0010902482,983,0.0027379799974336,0,False,3.3823246658610915e-08,758,0.0084372447962244,False,neither
ESIK-00164,0.00020131048,1167,0.0007255692897848,0,False,2.5038989562591467e-09,1091,0.0040526642900315,False,neither
ESIK-00165,0.0007397865,1070,0.0020187990045858,0,False,2.463752999119539e-08,808,0.0077182489537531,False,neither
ESIK-00166,0.019391695,299,0.0261305531256314,0,False,1.056080748777574e-06,351,0.0220638050324474,False,neither
ESIK-00168,0.0011590758,968,0.0028728713814468,0,False,2.564306554582378e-09,1088,0.0040800215449466,False,neither
ESIK-00170,0.0007170465,1080,0.0019698665186356,0,False,6.201218637825863e-09,1004,0.0052339894759611,False,neither
ESIK-00182,0.8546524,49,0.7033271310442575,0,True,0.4019094300799726,68,0.4988178025259894,True,both
ESIK-00194,0.0006717911,1090,0.0018714763608048,0,False,8.878119684688952e-09,968,0.0057909645426818,False,neither
ESIK-00195,0.00040675083,1142,0.0012614993211892,0,False,1.3172339719870267e-08,909,0.0064715223232687,False,neither
ESIK-00196,0.0011498716,973,0.0028549349730463,0,False,1.989962347965729e-08,843,0.007268295447329,False,neither
ESIK-00208,0.0020835695,816,0.0045532644218259,0,False,1.2392621185131257e-08,921,0.006361293535403,False,neither
ESIK-00209,0.0034987323,658,0.0068382529547035,0,False,8.168761514417234e-06,226,0.0387240102923082,False,neither
ESIK-00222,0.008083863,477,0.0131808723176784,0,False,1.2566278673750896e-07,584,0.0121918818813327,False,neither
ESIK-00229,0.0030207958,708,0.0060941084429534,0,False,1.1735061231515197e-07,597,0.011960528126136,False,neither
ESIK-00231,0.000984572,1004,0.0025272210530817,0,False,1.7803374011120247e-09,1116,0.0036807116028507,False,neither
ESIK-00234,0.027592395,267,0.0344222176079857,0,False,7.514212502865351e-07,379,0.0200759684400001,False,neither
ESIK-00239,0.46663833,80,0.3461431086531408,0,True,0.4582947660139657,65,0.5151285568803343,True,both
ESIK-00242,0.01881446,302,0.0255206626147206,0,False,6.269790828345163e-08,674,0.0100335455865715,False,neither
ESIK-00244,0.007099026,504,0.0119060615673994,0,False,6.511109709481376e-08,671,0.010140406113011,False,neither
ESIK-00246,0.041260894,221,0.0471442098908099,0,False,1.979861682584219e-06,299,0.0262517755095677,False,neither
ESIK-00256,0.008816274,452,0.0141068069611461,0,False,5.905193131845694e-07,401,0.0187757798497685,False,neither
ESIK-00257,0.028733142,263,0.035529282830511,0,False,3.0642264613435523e-06,268,0.0296080888189173,False,neither
ESIK-00266,0.008793561,453,0.0140783522200704,0,False,2.739933501643618e-07,488,0.0151598071781513,False,neither
ESIK-00268,0.0036913778,644,0.0071318198254226,0,False,3.011739635076798e-08,779,0.008166538674079,False,neither
ESIK-00272,0.0026982068,746,0.005577383206678,0,False,6.971998580574607e-09,995,0.0054097100678688,False,neither
ESIK-00278,0.0025046996,771,0.005261017525525,0,False,1.2774191954477536e-07,579,0.0122480109678068,False,neither
ESIK-00279,0.006511009,525,0.0111265232292738,0,False,3.160122577024325e-07,465,0.0157754136962541,False,neither
ESIK-00281,0.015224774,337,0.0216284802626431,0,False,7.737977965104759e-08,643,0.0106433775640423,False,neither
ESIK-00285,0.003318664,682,0.0065606559191198,0,False,1.5306554907650853e-08,884,0.0067509369592838,False,neither
ESIK-00290,0.0019165749,837,0.0042642334506504,0,False,1.6976931789727418e-08,866,0.0069506137385368,False,neither
ESIK-00294,0.0019033119,838,0.0042410495480828,0,False,3.041648352751864e-09,1072,0.0042813755947083,False,neither
ESIK-00304,0.0007473828,1069,0.0020350723130372,0,False,2.724441489029445e-09,1082,0.0041503671098357,False,neither
ESIK-00309,0.046708457,207,0.0519471326842633,0,False,1.8330055886378864e-05,190,0.0482102150568653,False,neither
ESIK-00317,0.0025235994,770,0.0052921449249462,0,False,1.526758365637572e-08,885,0.0067460947934477,False,neither
ESIK-00319,0.022338998,284,0.0291854719017317,0,False,1.9057574969071293e-07,534,0.0136980386131644,False,neither
ESIK-00340,0.0006834685,1085,0.0018969970759676,0,False,1.430854781890683e-09,1127,0.0034604628007555,False,neither
ESIK-00344,0.0010442352,989,0.0026467795877884,0,False,1.0282177932899484e-09,1143,0.0031521159146455,False,neither
ESIK-00356,0.021825666,286,0.0286600879148607,0,False,8.829346124799361e-07,365,0.020995081437396,False,neither
ESIK-00359,0.020320902,294,0.0271040317825505,0,False,1.8900414966103897e-07,537,0.0136663724101762,False,neither
ESIK-00379,0.0012644238,952,0.0030760529708256,0,False,2.8654904821864198e-09,1078,0.0042099060953742,False,neither
ESIK-00385,0.001341121,937,0.0032216775151076,0,False,2.2106303785264256e-09,1103,0.0039126522113237,False,neither
ESIK-00395,0.0024392202,778,0.0051527785396081,0,False,1.4362406189394765e-06,323,0.024024107800554,False,neither
ESIK-00396,0.0020171287,822,0.0044388938037125,0,False,6.892784460944437e-08,666,0.0103037221884187,False,neither
ESIK-00397,0.0012430376,954,0.0030351112114252,0,False,1.1933829934330918e-07,593,0.0120169043477056,False,neither
ESIK-00406,0.0015605445,890,0.0036288146189755,0,False,8.905110318595341e-09,966,0.0057959190199407,False,neither
ESIK-00410,0.00029517882,1159,0.0009803909347238,0,False,5.84826912815072e-10,1158,0.0026875887866581,False,neither
ESIK-00415,0.033845477,244,0.0403797296030001,0,False,5.972617737315699e-06,240,0.0355528694486165,False,neither
ESIK-00420,0.0013959057,926,0.0033245956595459,0,False,3.33260467359856e-08,764,0.0084022095920787,False,neither
ESIK-00424,0.5399301,72,0.40013181289569,0,True,0.0073414273323563,93,0.21711920645368,True,both
ESIK-00435,0.001878531,844,0.0041976384990138,0,False,5.430797535871576e-09,1021,0.0050418610783585,False,neither
ESIK-00440,0.0014452698,913,0.003416585757724,0,False,2.8771335053116825e-08,787,0.0080622584117801,False,neither
ESIK-00448,0.257397,108,0.2034883875423733,0,True,0.0002934615432877,126,0.1000331733638943,False,xgboost_only
ESIK-00452,0.015931372,327,0.0224093084213617,0,False,9.048500079620054e-07,363,0.0211383617388354,False,neither
ESIK-00453,0.004056574,623,0.0076793849849505,0,False,1.3482798147066908e-07,573,0.0124344792983097,False,neither
ESIK-00455,0.006355053,531,0.0109172253962332,0,False,2.521355607872069e-06,281,0.0280610899587649,False,neither
ESIK-00466,0.014075122,353,0.0203407033754856,0,False,3.430541012745605e-06,264,0.0305414324541671,False,neither
ESIK-00467,0.002273477,796,0.0048759273686236,0,False,5.982474795975648e-08,678,0.0099023696552346,False,neither
ESIK-00471,0.006542726,523,0.0111689534190141,0,False,1.83868374549856e-07,540,0.0135615427506136,False,neither
ESIK-00475,0.0068846215,511,0.0116235264586228,0,False,1.9145202386969933e-06,300,0.0260097709825446,False,neither
ESIK-00478,0.065485634,171,0.0676962269562691,0,False,8.22690162837719e-06,224,0.0387988901754963,False,neither
ESIK-00486,0.004383466,607,0.0081604489554198,0,False,2.1233477373828616e-08,826,0.0074021567624677,False,neither
